1,SistemaCore1,2,3,
2,Antivirus1,3,4,
3,Firewall1,1,5,
4,Navegador1,2,6,
5,Editor1,3,7,DISCO
6,Calculadora1,1,8,
7,Player1,2,2,
8,Backup1,3,3,
9,Limpeza1,1,4,
10,Monitor1,2,5,DISCO
11,Agenda1,3,6,
12,Terminal1,1,7,
13,Impressora1,2,8,
14,Musica1,3,2,
15,Video1,1,3,DISCO
16,Mensageiro1,2,4,
17,Relogio1,3,5,
18,Anotacoes1,1,6,
19,PDFReader1,2,7,
20,GerenciadorTarefas1,3,8,DISCO
21,ControleRede1,1,2,
22,Atualizador1,2,3,
23,SegurancaExtra1,3,4,
24,Browser21,1,5,
25,EditorTexto1,2,6,DISCO
26,Planilha1,3,7,
27,Apresentacao1,1,8,
28,IDE1,2,2,
29,CodigoFonte1,3,3,
30,Relatorios1,1,4,DISCO
31,Streaming1,2,5,
32,Dashboard1,3,6,
33,Logs1,1,7,
34,Auditoria1,2,8,
35,Profiler1,3,2,DISCO
36,Simulador1,1,3,
37,Scheduler1,2,4,
38,DriverUpdate1,3,5,
39,DefesaWeb1,1,6,
40,Docs1,2,7,DISCO
41,Slides1,3,8,
42,Tarefas1,1,2,
43,Imagens1,2,3,
44,CloudSync1,3,4,
45,ServidorLocal1,1,5,DISCO
46,Camera1,2,6,
47,Scanner1,3,7,
48,ProtecaoEmail1,1,8,
49,FirewallCloud1,2,2,
50,EditorImagem1,3,3,DISCO
51,EditorAudio1,1,4,
52,EditorVideo1,2,5,
53,Gravador1,3,6,
54,Debug1,1,7,
55,Compilador1,2,8,DISCO
56,Grafico1,3,2,
57,SistemaCore2,1,3,
58,Antivirus2,2,4,
59,Firewall2,3,5,
60,Navegador2,1,6,DISCO
61,Editor2,2,7,
62,Calculadora2,3,8,
63,Player2,1,2,
64,Backup2,2,3,
65,Limpeza2,3,4,DISCO
66,Monitor2,1,5,
67,Agenda2,2,6,
68,Terminal2,3,7,
69,Impressora2,1,8,
70,Musica2,2,2,DISCO
71,Video2,3,3,
72,Mensageiro2,1,4,
73,Relogio2,2,5,
74,Anotacoes2,3,6,
75,PDFReader2,1,7,DISCO
76,GerenciadorTarefas2,2,8,
77,ControleRede2,3,2,
78,Atualizador2,1,3,
79,SegurancaExtra2,2,4,
80,Browser22,3,5,DISCO
81,EditorTexto2,1,6,
82,Planilha2,2,7,
83,Apresentacao2,3,8,
84,IDE2,1,2,
85,CodigoFonte2,2,3,DISCO
86,Relatorios2,3,4,
87,Streaming2,1,5,
88,Dashboard2,2,6,
89,Logs2,3,7,
90,Auditoria2,1,8,DISCO
91,Profiler2,2,2,
92,Simulador2,3,3,
93,Scheduler2,1,4,
94,DriverUpdate2,2,5,
95,DefesaWeb2,3,6,DISCO
96,Docs2,1,7,
97,Slides2,2,8,
98,Tarefas2,3,2,
99,Imagens2,1,3,
100,CloudSync2,2,4,DISCO
101,ServidorLocal2,3,5,
102,Camera2,1,6,
